サービスID,サービス名,カテゴリ,サブカテゴリ,ツールタイプ,価格,公式URL,対応TOEICレベル,対応課題_基礎重視,対応課題_会話実践,学習の流れ,推奨スケジュール,推奨学習時間,学習のポイント,特徴タグ,学習スタイル,対応言語
CN_003,CC Lesson,多言語,中国語,レッスン,月額9790円,https://www.cclesson.com/,,,音声中級・音声上級・文章中級・文章上級・語彙中級・語彙上級,1.レベル診断→2.個別カリキュラム→3.マンツーマン指導→4.実践応用,週2回×継続,週120分,マンツーマン・ビジネス中国語・検定対策,マンツーマン・ビジネス特化・検定対策,講師指導,中国語
CN_004,BIZ China,多言語,中国語,スクール,月額15000円,https://bizchina-school.com/,,,音声上級・文章上級・語彙上級,1.ビジネス基礎→2.商談練習→3.文書作成→4.実務応用,週1回×継続,週120分,ビジネス特化・実務経験・企業研修,ビジネス特化・実務重視・企業研修対応,講師指導,中国語
DE_001,ドイツ語マスター,多言語,ドイツ語,アプリ,月額1800円,https://deutsch-master.com/,,,音声基礎・文章基礎・語彙基礎,1.アルファベット→2.基本単語→3.基本文法→4.会話練習,毎日25分×6ヶ月,1日25分,音声認識・文法解説・段階学習,音声認識・文法特化・進捗管理,自主学習,ドイツ語
DE_002,ドイツ語オンライン,多言語,ドイツ語,レッスン,月額8500円,https://deutsch-online.com/,,,音声基礎・音声中級・文章基礎・文章中級・語彙基礎・語彙中級,1.発音練習→2.基本会話→3.文法学習→4.実践対話,週2回×継続,週100分,ネイティブ講師・実践会話・文化紹介,ネイティブ講師・実践重視・文化学習,講師指導,ドイツ語
DE_003,ゲーテ・インスティトゥート,多言語,ドイツ語,スクール,月額20000円,https://www.goethe.de/,,,音声中級・音声上級・文章中級・文章上級・語彙中級・語彙上級,1.レベル診断→2.体系的学習→3.検定準備→4.資格取得,週2回×継続,週200分,公式機関・資格対策・本格指導,公式機関・資格取得・本格カリキュラム,講師指導,ドイツ語
FR_001,フランス語アプリPlus,多言語,フランス語,アプリ,月額1680円,https://francais-plus.com/,,,音声基礎・文章基礎・語彙基礎,1.発音基礎→2.基本単語→3.基本文法→4.会話練習,毎日20分×6ヶ月,1日20分,音声認識・美しい発音・段階学習,音声認識・発音重視・段階学習,自主学習,フランス語
FR_002,フランス語オンラインレッスン,多言語,フランス語,レッスン,月額7500円,https://francais-lesson.com/,,,音声基礎・音声中級・文章基礎・文章中級・語彙基礎・語彙中級,1.発音指導→2.基本会話→3.文法学習→4.文化理解,週2回×継続,週100分,ネイティブ講師・文化紹介・実践会話,ネイティブ講師・文化重視・実践会話,講師指導,フランス語
FR_003,Alliance Française,多言語,フランス語,スクール,月額18000円,https://www.alliancefr.org/,,,音声中級・音声上級・文章中級・文章上級・語彙中級・語彙上級,1.体系的学習→2.検定対策→3.文化理解→4.実践応用,週2回×継続,週180分,政府認定・本格指導・検定対策,政府認定・本格カリキュラム・検定対策,講師指導,フランス語
TH_001,タイ語学習アプリ,多言語,タイ語,アプリ,月額1200円,https://thai-learning.com/,,,音声基礎・文章基礎・語彙基礎,1.文字学習→2.基本単語→3.会話練習→4.実践応用,毎日30分×6ヶ月,1日30分,文字学習・音調練習・実用会話,文字重視・音調練習・実用性,自主学習,タイ語
TH_002,タイ語オンライン教室,多言語,タイ語,レッスン,月額6800円,https://thai-online-class.com/,,,音声基礎・音声中級・文章基礎・文章中級・語彙基礎・語彙中級,1.基礎発音→2.日常会話→3.文法学習→4.実践会話,週2回×継続,週120分,ネイティブ講師・実践会話・文化理解,ネイティブ講師・実践重視・文化学習,講師指導,タイ語
TH_003,バンコク語学スクール,多言語,タイ語,スクール,月額12000円,https://bangkok-language.com/,,,音声中級・音声上級・文章中級・文章上級・語彙中級・語彙上級,1.集中基礎→2.実践練習→3.ビジネス応用→4.検定対策,週1回×継続,週150分,集中指導・ビジネス対応・検定対策,集中指導・ビジネス特化・検定対応,講師指導,タイ語
VN_001,ベトナム語マスター,多言語,ベトナム語,アプリ,月額1400円,https://vietnamese-master.com/,,,音声基礎・文章基礎・語彙基礎,1.声調学習→2.基本単語→3.基本文法→4.会話練習,毎日25分×6ヶ月,1日25分,声調練習・段階学習・実用重視,声調重視・段階学習・実用性,自主学習,ベトナム語
VN_002,ベトナム語会話レッスン,多言語,ベトナム語,レッスン,月額5800円,https://vietnamese-lesson.com/,,,音声基礎・音声中級・文章基礎・文章中級・語彙基礎・語彙中級,1.発音指導→2.日常会話→3.文法学習→4.実践練習,週2回×継続,週100分,ネイティブ講師・実践会話・ビジネス対応,ネイティブ講師・実践重視・ビジネス対応,講師指導,ベトナム語
VN_003,ハノイ語学センター,多言語,ベトナム語,スクール,月額9000円,https://hanoi-center.com/,,,音声中級・音声上級・文章中級・文章上級・語彙中級・語彙上級,1.基礎固め→2.実践練習→3.ビジネス応用→4.文化理解,週1回×継続,週120分,専門指導・ビジネス対応・文化理解,専門指導・ビジネス特化・文化重視,講師指導,ベトナム語
KO_001,韓国語学習アプリPro,多言語,韓国語,アプリ,月額1580円,https://korean-pro.com/,,,音声基礎・文章基礎・語彙基礎,1.ハングル学習→2.基本単語→3.基本文法→4.K-POP活用,毎日20分×6ヶ月,1日20分,ハングル特化・K-POP活用・楽しい学習,ハングル重視・K-POP活用・エンタメ学習,自主学習,韓国語
KO_002,韓国語オンライン教室,多言語,韓国語,レッスン,月額6500円,https://korean-online.com/,,,音声基礎・音声中級・文章基礎・文章中級・語彙基礎・語彙中級,1.発音練習→2.基本会話→3.ドラマ活用→4.実践会話,週2回×継続,週100分,ネイティブ講師・ドラマ活用・文化理解,ネイティブ講師・ドラマ活用・文化学習,講師指導,韓国語
KO_003,ソウル語学院,多言語,韓国語,スクール,月額13500円,https://seoul-academy.com/,,,音声中級・音声上級・文章中級・文章上級・語彙中級・語彙上級,1.体系学習→2.検定対策→3.ビジネス応用→4.文化理解,週2回×継続,週160分,検定対策・ビジネス対応・本格指導,検定対策・ビジネス特化・本格カリキュラム,講師指導,韓国語
